1788699706751,28045
1788699707504,27628
1788699708255,27628
1788699708988,27628
1788699709741,23451
1788699710475,23451
1788699711278,43877
1788699712009,43877
1788699712757,44155
1788699713481,45481
1788699714223,45481
1788699714954,45533
1788699715694,43164
1788699716463,43090
1788699717215,43090
1788699717944,46825
1788699718692,46822
1788699719418,46822
1788699720172,46099
1788699720893,45964
1788699721679,45964
1788699722408,45964
1788699723142,46122
1788699723857,46122
1788699724592,46122
1788699725316,45228
1788699726065,45228
1788699726892,44552
1788699727633,44552
1788699728363,44505
1788699729098,44805
1788699729828,44805
1788699730563,44793
1788699731310,41824
1788699732104,42000
1788699732828,42000
1788699733604,42933
1788699734328,42908
1788699735067,42908
1788699735798,42908
1788699736537,42432
1788699737272,42432
1788699738011,42432
1788699738745,43411
1788699739478,43411
1788699740218,43411
1788699740946,42070
1788699741673,41874
1788699742469,45789
1788699743194,45789
1788699743938,45716
1788699744669,45147
1788699745435,45147
1788699746152,45150
1788699746903,45090
1788699747678,44984
1788699748438,44984
1788699749165,45418
1788699749901,45436
1788699750626,45436
1788699751391,45436
1788699752138,44205
1788699752887,44205
1788699753620,44205
1788699754384,46175
1788699755149,46120
1788699755874,46120
1788699756606,44718
1788699757340,44781
1788699758076,46080
1788699758811,46080
1788699759553,46074
1788699760291,45327
1788699761029,45327
1788699761759,45376
1788699762478,44703
1788699763278,44769
1788699764001,44769
1788699764757,44769
1788699765493,40785
1788699766226,40785
1788699766956,40785
1788699767697,41278
1788699768440,41223
1788699769170,41223
1788699769900,42432
1788699770644,42617
1788699771365,42617
1788699772098,40128
1788699772830,40085
1788699773643,42496
1788699774386,42496
1788699775119,42360
1788699775849,42285
1788699776586,42285
1788699777317,42455
1788699778046,42455
1788699778819,41196
1788699779554,41196
1788699780315,41196
1788699781063,40043
1788699781805,40043
