build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.q4_k_s.gguf","qwen2 1.5B Q4_K - Small","1065634304","1777088000","2048","512","2","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","128","0","0","2026-09-08T08:18:43Z","1438686020","25641288","88.992330","1.561118"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.q4_k_s.gguf","qwen2 1.5B Q4_K - Small","1065634304","1777088000","2048","512","2","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-09-08T08:18:51Z","6035449080","247587561","84.944723","3.430937"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.q4_k_s.gguf","qwen2 1.5B Q4_K - Small","1065634304","1777088000","2048","512","2","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-09-08T08:19:27Z","26840604660","213978948","76.306145","0.602173"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.q4_k_s.gguf","qwen2 1.5B Q4_K - Small","1065634304","1777088000","2048","512","2","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-09-08T08:22:08Z","6025119880","3891788863","21.752258","3.347938"
