build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/bitnet-b1.58-2B-4T.i2_s.gguf","bitnet-b1.58 2B Q1_0","1179449920","2412820480","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","128","0","0","2026-09-06T09:27:21Z","1023158060","40598484","125.259192","4.926776"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/bitnet-b1.58-2B-4T.i2_s.gguf","bitnet-b1.58 2B Q1_0","1179449920","2412820480","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-09-06T09:27:28Z","4617806860","478342881","111.789376","11.050798"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/bitnet-b1.58-2B-4T.i2_s.gguf","bitnet-b1.58 2B Q1_0","1179449920","2412820480","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-09-06T09:27:56Z","20909165060","4239708346","98.689004","9.546996"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/bitnet-b1.58-2B-4T.i2_s.gguf","bitnet-b1.58 2B Q1_0","1179449920","2412820480","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-09-06T09:30:02Z","4771454480","56141045","26.829185","0.317015"
