1788947506609,48844
1788947507337,48844
1788947508079,58591
1788947508851,58840
1788947509612,58840
1788947510337,52145
1788947511096,52273
1788947511930,53863
1788947512660,53863
1788947513378,53328
1788947514123,56241
1788947514843,56241
1788947515585,56756
1788947516332,56756
1788947517076,52147
1788947517815,52147
1788947518557,52147
1788947519279,56823
1788947520025,56823
1788947520772,56364
1788947521519,56348
1788947522240,56027
1788947522985,56027
1788947523709,50330
1788947524459,50026
1788947525277,55345
1788947526023,55345
1788947526754,55762
1788947527492,54502
1788947528238,54502
1788947528990,54647
1788947529761,54647
1788947530538,48356
1788947531294,48356
1788947532136,48356
1788947532860,41773
1788947533620,41422
1788947534348,41422
1788947535171,48676
1788947535905,49108
1788947536656,44372
1788947537444,44372
1788947538218,44353
1788947538983,43476
1788947539748,43580
1788947540484,43580
1788947541302,43580
1788947542084,40850
1788947542847,40850
1788947543631,40850
1788947544422,42045
1788947545187,42403
1788947545942,38435
1788947546668,38435
1788947547460,38222
1788947548207,40027
1788947548950,39922
1788947549678,39922
1788947550419,43572
1788947551161,43514
1788947552007,43514
1788947552733,43514
1788947553489,46977
1788947554227,46977
1788947554981,46977
