model                  thr         test        tok/s   +/- sd
qwen_q8_0              qwen2 1.5B Q8_0         1.76 GiB on disk  1.78 B params   1637 MB peak WS

decode @ 8 threads: bitnet_i2s 26.8 t/s = 37.3 ms/token
   qwen_q8_0  22.4 t/s = 44.6 ms/token   (bitnet 1.20x)
   qwen_fp16  13.2 t/s = 75.8 ms/token   (bitnet 2.03x)
prefill128 @ 8 threads: bitnet_i2s 125.3 t/s | qwen_q8_0 88.7 (1.41x) | qwen_fp16 87.4 (1.43x)

decode @ 16 threads: bitnet_i2s 20.4 t/s = 49.0 ms/token
   qwen_q8_0  19.4 t/s = 51.6 ms/token   (bitnet 1.05x)
   qwen_fp16  12.0 t/s = 83.1 ms/token   (bitnet 1.70x)
prefill128 @ 16 threads: bitnet_i2s 67.3 t/s | qwen_q8_0 72.4 (0.93x) | qwen_fp16 83.7 (0.80x)

