build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.q8_0.gguf","qwen2 1.5B Q8_0","1888581632","1777088000","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","128","0","0","2026-09-06T09:50:25Z","1682795240","27871934","76.080576","1.257237"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.q8_0.gguf","qwen2 1.5B Q8_0","1888581632","1777088000","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-09-06T09:50:35Z","7077949620","304425460","72.442778","3.065119"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.q8_0.gguf","qwen2 1.5B Q8_0","1888581632","1777088000","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-09-06T09:51:17Z","29793999960","747553967","68.773035","1.711942"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.q8_0.gguf","qwen2 1.5B Q8_0","1888581632","1777088000","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-09-06T09:54:16Z","5309997380","27043025","24.105976","0.123328"
