1788947697356,43316
1788947698086,43316
1788947698849,55991
1788947699577,55815
1788947700348,55815
1788947701108,58728
1788947701888,58268
1788947702647,58268
1788947703413,58268
1788947704171,49313
1788947704941,49313
1788947705743,49202
1788947706678,49171
1788947707437,49171
1788947708191,43104
1788947708942,43076
1788947709717,49865
1788947710456,49865
1788947711233,49846
1788947711988,51735
1788947712811,51685
1788947713570,51685
1788947714350,51685
1788947715122,45994
1788947715913,45994
1788947716664,45994
1788947717444,45146
1788947718196,45313
1788947719004,43910
1788947719776,43910
1788947720563,44066
1788947721329,43228
1788947722109,43269
1788947722871,43269
1788947723680,43380
1788947724430,43385
1788947725209,45713
1788947725978,45713
1788947726786,45473
1788947727567,45473
1788947728339,47038
1788947729087,47038
1788947729864,47038
1788947730637,49414
1788947731409,49593
1788947732157,49593
1788947732939,47445
1788947733700,47373
1788947734471,45843
1788947735248,45843
1788947736006,45925
1788947736752,50380
1788947737552,50182
1788947738293,50182
1788947739070,50182
1788947739841,44597
1788947740708,44597
1788947741461,44597
1788947742245,41847
1788947743012,41847
1788947743809,44130
1788947744557,44130
1788947745333,44105
1788947746074,45040
1788947746906,45057
1788947747654,45057
1788947749483,42600
1788947750289,37990
1788947751042,37861
1788947751848,37861
1788947752620,37861
1788947753393,42907
1788947754148,42907
1788947755003,42907
1788947755834,41451
1788947757093,41357
1788947757861,37265
1788947758618,37621
1788947759359,42788
1788947760110,42788
1788947760895,42386
1788947761647,45514
1788947762398,45782
1788947763198,45782
1788947764213,53966
1788947765077,53334
1788947765898,53334
1788947766663,46712
1788947767578,46712
1788947768418,46712
1788947769305,45498
1788947770141,45720
1788947771015,42362
1788947771859,42383
1788947772754,40719
1788947773581,40719
1788947774436,40716
1788947775192,40526
1788947775973,40539
1788947776772,40539
1788947777547,40539
1788947778311,47674
1788947779104,47674
1788947779871,45271
1788947780651,45271
1788947781403,45389
1788947782169,44897
1788947782959,44798
1788947783733,44798
1788947784486,46474
1788947785263,46471
1788947786031,44131
1788947786813,44131
1788947787565,44123
1788947788785,43443
1788947789600,43688
1788947790425,43688
1788947791219,42711
1788947792009,42711
1788947792768,42711
1788947793561,47899
1788947794324,48057
1788947795110,48057
1788947795854,50392
1788947796614,50340
1788947797387,48796
1788947798171,48796
1788947798939,48970
1788947799735,45175
1788947800619,44972
1788947801598,44972
1788947802407,44972
1788947803249,43444
1788947804065,43444
1788947804860,41052
1788947805634,41057
1788947806427,41057
1788947807179,47409
1788947807975,47209
1788947808743,42950
1788947809530,42950
1788947810282,43132
1788947811072,41390
1788947811821,41139
1788947812594,41139
1788947813354,46712
1788947814142,46867
1788947814917,46867
1788947816266,44017
1788947817049,44017
1788947817941,44017
1788947818778,48485
1788947819708,48067
1788947820568,42171
1788947821476,42316
1788947822326,40971
1788947823251,41023
1788947824278,40960
1788947825343,40942
1788947826334,40942
1788947827162,40942
1788947827949,40256
1788947828698,40256
1788947829463,46725
1788947830211,46725
1788947830987,46539
1788947831739,50487
1788947832496,50398
1788947833240,50398
1788947834032,48017
1788947834791,48045
1788947835569,43486
1788947836320,43486
1788947837109,43591
1788947837858,44081
1788947838638,44089
1788947839400,44089
1788947840185,44089
1788947840945,48780
1788947841739,48780
1788947842493,48780
1788947843274,43108
1788947844983,42258
1788947845831,42505
1788947846674,42505
1788947847451,53068
1788947848252,52656
1788947849062,47872
1788947849979,47866
1788947850736,47866
1788947851497,47866
1788947852240,47231
1788947853027,47231
1788947853786,47231
1788947854575,49575
1788947855329,49515
1788947856129,48666
1788947856888,48666
1788947857666,48927
1788947858429,47063
1788947859210,46825
1788947859968,46825
1788947860745,43996
1788947861494,44013
1788947862294,44045
1788947863040,44045
1788947863822,44269
1788947864568,44269
1788947865392,40306
1788947866172,40306
1788947866954,40306
1788947867717,44619
1788947868504,44681
1788947869254,44681
1788947870027,40204
1788947870791,40153
1788947872596,38347
