build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","1","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","128","0","0","2026-09-06T10:03:09Z","4393921920","196423076","29.177145","1.286495"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","1","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-09-06T10:03:37Z","17230333540","400406286","29.727797","0.686427"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","1","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-09-06T10:05:19Z","75457881780","1311694598","27.200851","1.432746"
"390c30775","9918","Intel(R) Core(TM) i9-14900HX","","CPU","models/qwen2.5-1.5b-instruct.fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","1","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-09-06T10:12:55Z","21014643340","275074107","6.091819","0.079135"
