2025_BitMar-lowbit-multimodal-fusion-episodic-memory-edge.pdf	arXiv:2510.10560	BitMar: Low-Bit Multimodal Fusion with Episodic Memory for Edge Devices
2025_BitTTS-compact-tts-1.58bit-quantization.pdf	arXiv:2506.03515	BitTTS: Highly Compact Text-to-Speech Using 1.58-bit Quantization and Weight Indexing
2025_DBellQuant-double-bell-transformation-binarization.pdf	arXiv:2507.01027	DBellQuant: Breaking the Bell with Double-Bell Transformation for LLMs Post Training Binarization
2025_Fairy2i-complex-llm-from-real-llm.pdf	arXiv:2512.02901	Fairy2i: Training Complex LLMs from Real LLMs with All Parameters in {±1, ±}
2025_Hoang_rethinking-output-alignment-1bit-ptq.pdf	arXiv:2512.21651	Rethinking Output Alignment For 1-bit Post-Training Quantization of Large Language Models
2025_Huang_Tequila-trapping-free-ternary-quantization.pdf	arXiv:2509.23809	TEQUILA: TRAPPING-FREE TERNARY QUANTIZATION FOR LARGE LANGUAGE MODELS
2025_ICQuant-index-coding-lowbit-llm-quant.pdf	arXiv:2505.00850	ICQuant: Index Coding enables Low-bit LLM Quantization
2025_Kaushal_spectra-1.1-scaling-laws-ternary-lms.pdf	arXiv:2506.23025	Spectra 1.1: Scaling Laws and Efficient Inference for Ternary Language Models
2025_LLMPi-llms-high-throughput-raspberry-pi.pdf	arXiv:2504.02118	LLMPi: Optimizing LLMs for High-Throughput on Raspberry Pi
2025_LittleBit-ultra-low-bit-latent-factorization.pdf	arXiv:2506.13771	LittleBit: Ultra Low-Bit Quantization via Latent Factorization
2025_Liu_survey-binary-neural-networks-llm.pdf	arXiv:2502.19008	Binary Neural Networks for Large Language Model: A Survey
2025_Ma_bitnet-b1.58-2b4t-tech-report.pdf	arXiv:2504.12285	BitNet b1.58 2B4T Technical Report
2025_MoTE-mixture-of-ternary-experts-multimodal.pdf	arXiv:2506.14435	MoTE: Mixture of Ternary Experts for Memory-efficient Large Multimodal Models
2025_Nielsen_continual-qat-pretraining-16bit-to-1.58bit.pdf	arXiv:2502.11895	Continual Quantization-Aware Pre-Training: When to transition from 16-bit to 1.58-bit pre-training for BitNet language models?
2025_PT2-LLM-post-training-ternarization.pdf	arXiv:2510.03267	PT2-LLM: POST-TRAINING TERNARIZATION FOR LARGE LANGUAGE MODELS
2025_PTQTP-post-training-quant-trit-planes.pdf	arXiv:2509.16989	PTQTP: Post-Training Quantization to Trit-Planes for Large Language Models
2025_ParetoQ-scaling-laws-extreme-low-bit-quantization.pdf	arXiv:2502.02631	ParetoQ: Improving Scaling Laws in Extremely Low-bit LLM Quantization
2025_Platinum-lut-accelerator-lowbit-weight-matmul.pdf	arXiv:2511.21910	Platinum: Path-Adaptable LUT-Based Accelerator Tailored for Low-Bit Weight Matrix Multiplication
2025_QuEST-stable-training-1bit-weights-activations.pdf	arXiv:2502.05003	QuEST: Stable Training of LLMs with 1-Bit Weights and Activations
2025_R2Q-robust-2bit-llm-residual-refinement.pdf	arXiv:2511.21736	R2Q: Towards Robust 2-Bit Large Language Models via Residual Refinement Quantization
2025_T-SAR-cpu-only-ternary-llm-simd-alu.pdf	arXiv:2511.13676	T-SAR: A Full-Stack Co-design for CPU-Only Ternary LLM Inference via In-Place SIMD ALU Reorganization
